Order ID,Symbol,Type,Trade Type,Entry Price,Exit Price,Quantity,PnL,Return %,Max Profit,Min Profit,Avg Profit,Avg Loss,Capital Used,Entry Time,Exit Time,Exit Reason
178,NSE:NIFTY2611325700CE,LONG,REAL,68.30,67.50,2920,-300.00,-1.17%,+0.00,-2336.00,-,-2336.00,199436,2026-01-14 08:04:48,2026-01-14 08:04:48,Hard stop loss hit
179,NSE:NIFTY2611325700CE,LONG,REAL,67.50,75.70,2960,+24272.00,+12.15%,+54316.00,+0.00,+31844.67,-,199800,2026-01-14 08:04:48,2026-01-14 08:04:50,Drop in percentage: 15.04% drop from peak profit (27.19% → 12.15%)
180,BSE:SENSEX2611483600CE,LONG,REAL,357.65,385.80,525,+14778.75,+7.87%,+31447.50,+0.00,+19442.50,-,187766,2026-01-14 08:04:48,2026-01-14 08:04:50,Drop in percentage: 8.88% drop from peak profit (16.75% → 7.87%)
181,NSE:FINNIFTY26JAN27600CE,LONG,REAL,255.00,240.00,775,-11625.00,-5.88%,+0.00,-11625.00,-,-11625.00,197625,2026-01-14 08:04:49,2026-01-14 08:04:49,Microstructure: Volume spike with price rejection
182,NSE:FINNIFTY26JAN27600CE,LONG,REAL,240.00,275.15,825,+28998.75,+14.65%,+31061.25,+0.00,+20858.75,-,198000,2026-01-14 08:04:49,2026-01-14 08:04:52,Drop in percentage: 1.04% drop from peak profit (15.69% → 14.65%)
183,NSE:NIFTY2611325700CE,LONG,REAL,75.70,68.65,2640,-300.00,-9.31%,+0.00,-18612.00,-,-18612.00,199848,2026-01-14 08:04:50,2026-01-14 08:04:50,Hard stop loss hit
184,BSE:SENSEX2611483600CE,LONG,REAL,385.80,367.95,490,-300.00,-4.63%,+0.00,-8746.50,-,-8746.50,189042,2026-01-14 08:04:50,2026-01-14 08:04:50,Hard stop loss hit
185,NSE:NIFTY2611325700CE,LONG,REAL,68.65,82.25,2900,+39440.00,+19.81%,+44080.00,+0.00,+25752.00,-,199085,2026-01-14 08:04:50,2026-01-14 08:04:51,Drop in percentage: 2.33% drop from peak profit (22.14% → 19.81%)
186,BSE:SENSEX2611483600CE,LONG,REAL,367.95,360.00,525,-300.00,-2.16%,+0.00,-4173.75,-,-4173.75,193173,2026-01-14 08:04:50,2026-01-14 08:04:50,Hard stop loss hit
187,BSE:SENSEX2611483600CE,LONG,PAPER,360.00,400.20,525,+21105.00,+11.17%,+25751.25,+0.00,+19929.00,-,189000,2026-01-14 08:04:50,2026-01-14 08:04:51,Drop in percentage: 2.46% drop from peak profit (13.63% → 11.17%)
188,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,546.25,542.55,360,-300.00,-0.68%,+0.00,-1332.00,-,-1332.00,196650,2026-01-14 08:04:51,2026-01-14 08:04:51,Hard stop loss hit
189,BSE:SENSEX2611483600CE,LONG,REAL,400.20,454.15,490,+26435.50,+13.48%,+33344.50,+0.00,+21349.30,-,196098,2026-01-14 08:04:51,2026-01-14 08:04:52,Drop in percentage: 3.52% drop from peak profit (17.00% → 13.48%)
190,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,542.55,606.80,360,+23130.00,+11.84%,+26514.00,+0.00,+17391.60,-,195317,2026-01-14 08:04:51,2026-01-14 08:04:53,Drop in percentage: 1.73% drop from peak profit (13.57% → 11.84%)
191,NSE:FINNIFTY26JAN27600CE,LONG,REAL,275.15,271.35,725,-300.00,-1.38%,+0.00,-2755.00,-,-2755.00,199483,2026-01-14 08:04:52,2026-01-14 08:04:52,Hard stop loss hit
192,NSE:FINNIFTY26JAN27600CE,LONG,REAL,271.35,275.40,725,+2936.25,+1.49%,+5872.50,+0.00,+5138.44,-,196728,2026-01-14 08:04:52,2026-01-14 08:04:53,Drop in percentage: 1.49% drop from peak profit (2.99% → 1.49%)
193,BSE:SENSEX2611483600CE,LONG,REAL,454.15,441.60,420,-300.00,-2.76%,+3969.00,-5271.00,+3969.00,-5271.00,190743,2026-01-14 08:04:52,2026-01-14 08:04:53,Breakeven stop hit (protected capital)
194,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,606.80,600.25,300,-300.00,-1.08%,+930.00,-1965.00,+930.00,-1965.00,182040,2026-01-14 08:04:53,2026-01-14 08:04:53,Breakeven stop hit (protected capital)
195,BSE:SENSEX2611483600CE,LONG,REAL,441.60,465.40,420,+9996.00,+5.39%,+13566.00,+0.00,+10857.00,-,185472,2026-01-14 08:04:53,2026-01-14 08:04:54,Drop in percentage: 1.92% drop from peak profit (7.31% → 5.39%)
196,NSE:BANKNIFTY26JAN59600CE,LONG,REAL,600.25,600.00,330,-82.50,-0.04%,+5775.00,-82.50,+3803.25,-82.50,198082,2026-01-14 08:04:53,2026-01-14 08:04:54,Breakeven stop hit (protected capital)
197,NSE:FINNIFTY26JAN27600CE,LONG,REAL,275.40,274.40,725,-300.00,-0.36%,+0.00,-725.00,-,-725.00,199664,2026-01-14 08:04:53,2026-01-14 08:04:53,Hard stop loss hit
198,NSE:FINNIFTY26JAN27600CE,LONG,REAL,274.40,267.65,725,-4893.75,-2.46%,+0.00,-4893.75,-,-4893.75,198939,2026-01-14 08:04:53,2026-01-14 08:04:54,Microstructure: Volume spike with price rejection
199,NSE:NIFTY2611325700CE,LONG,REAL,94.75,88.70,2100,-300.00,-6.39%,+0.00,-12705.00,-,-12705.00,198975,2026-01-14 08:04:54,2026-01-14 08:04:54,Hard stop loss hit
200,BSE:SENSEX2611483600CE,LONG,REAL,465.40,444.65,420,-300.00,-4.46%,+0.00,-8715.00,-,-8715.00,195468,2026-01-14 08:04:54,2026-01-14 08:04:54,Hard stop loss hit
