symbol,timestamp,start_date,end_date,daily_vomc_signal,daily_vomc_signal_str,daily_vomc_prob,daily_regime,daily_return_prediction,intraday_vomc_signal,intraday_vomc_signal_str,intraday_vomc_prob,intraday_regime,intraday_return_prediction,rl_action,rl_action_str,raw_signal,raw_signal_str,final_signal,final_signal_str,volatility_filter,volatility_filter_str,trend_filter,trend_filter_str,breakout_filter,breakout_filter_str,momentum_filter,momentum_filter_str,confidence_filter,confidence_filter_str,volatility_value,volatility_positive,volatility_negative,trend_confirmation,trend_confirmation_str,breakout_confirmation,breakout_confirmation_str,momentum_confirmation,momentum_confirmation_str,status,error
BSE:SENSEX2610185100CE,2025-12-29 10:03:37,2025-12-27 16:15:00,2025-12-29 16:15:00,1.0,BUY,0.3076923076923077,0.0,0.00472186878323555,1.0,BUY,0.6,1.0,-0.004458605777472258,2.0,HOLD,1.0,BUY,0.0,HOLD,True,PASS,0.0,NEUTRAL,1.0,BULLISH,-1.0,BEARISH,True,PASS,0.030689556608560754,0.0060959440989805085,0.021760134089844577,False,FAIL,True,PASS,False,FAIL,SUCCESS,
BSE:SENSEX25DEC85400PE,2025-12-29 10:03:37,2025-12-27 16:15:00,2025-12-29 16:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERROR: ufunc 'isfinite' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''","ufunc 'isfinite' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
