timestamp,open,Close,high,low,volume,trade_volume,returns,SMA_short,SMA_long,MA,STD,BB_upper,BB_lower,RSI,long_signal,short_signal,position,strategy_ret,equity
12-04-2025 14:29:50,359.75,359.75,359.75,359.75,0,20,0.0,,,,,,,,False,False,0,,
12-04-2025 14:29:55,359.75,359.75,359.75,359.75,0,0,0.0,,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:00,359.75,359.75,359.75,359.75,0,0,0.0,,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:05,359.75,359.75,359.75,359.75,0,0,0.0,,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:30:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,,,,,,,False,False,0,0.0,1.0
12-04-2025 14:31:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:31:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:32:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:33:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:34:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:30,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:35,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:40,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:45,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:50,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:35:55,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:00,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:05,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:10,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:15,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:20,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
12-04-2025 14:36:25,359.75,359.75,359.75,359.75,0,0,0.0,359.75,359.75,359.75,0.0,359.75,359.75,,False,False,0,0.0,1.0
