Time,Open,High,Low,Close,TradeVol,Vol,date,datetime,daily_return_open_close,daily_return,state
1765424705,650.0,799.0,583.5,589.2,1340,15980,2025-12-11T09:15:05+05:30,12-11-2025 09:15:05,,-60.799999999999955,down
1765424710,567.15,812.85,518.0,585.2,1860,15980,2025-12-11T09:15:10+05:30,12-11-2025 09:15:10,-4.0,18.050000000000068,up
1765424715,556.1,559.4,556.1,559.4,1260,15980,2025-12-11T09:15:15+05:30,12-11-2025 09:15:15,-25.800000000000068,3.2999999999999545,no
1765424720,556.1,561.05,556.1,560.9,520,15980,2025-12-11T09:15:20+05:30,12-11-2025 09:15:20,1.5,4.7999999999999545,no
1765424725,564.75,564.75,561.45,561.45,40,15980,2025-12-11T09:15:25+05:30,12-11-2025 09:15:25,0.5500000000000682,-3.2999999999999545,down
1765424730,571.35,591.75,571.35,585.1,100,15980,2025-12-11T09:15:30+05:30,12-11-2025 09:15:30,23.649999999999977,13.75,up
1765424735,580.6,584.4,580.6,584.4,100,15980,2025-12-11T09:15:35+05:30,12-11-2025 09:15:35,-0.7000000000000455,3.7999999999999545,no
1765424740,587.2,587.2,585.3,585.3,40,15980,2025-12-11T09:15:40+05:30,12-11-2025 09:15:40,0.8999999999999773,-1.900000000000091,down
1765424745,588.8,590.6,588.8,590.6,40,15980,2025-12-11T09:15:45+05:30,12-11-2025 09:15:45,5.300000000000068,1.8000000000000682,no
1765424750,602.75,602.75,602.75,602.75,20,15980,2025-12-11T09:15:50+05:30,12-11-2025 09:15:50,12.149999999999977,0.0,no
1765424755,609.9,609.9,609.8,609.8,120,15980,2025-12-11T09:15:55+05:30,12-11-2025 09:15:55,7.0499999999999545,-0.10000000000002274,down
1765424760,615.75,626.85,615.75,626.85,460,15980,2025-12-11T09:16:00+05:30,12-11-2025 09:16:00,17.050000000000068,11.100000000000023,up
1765424765,626.85,626.85,626.85,626.85,0,15980,2025-12-11T09:16:05+05:30,12-11-2025 09:16:05,0.0,0.0,no
1765424770,626.85,626.85,626.85,626.85,0,15980,2025-12-11T09:16:10+05:30,12-11-2025 09:16:10,0.0,0.0,no
1765424775,626.85,626.85,626.85,626.85,0,15980,2025-12-11T09:16:15+05:30,12-11-2025 09:16:15,0.0,0.0,no
1765424780,627.95,627.95,627.95,627.95,40,15980,2025-12-11T09:16:20+05:30,12-11-2025 09:16:20,1.1000000000000227,0.0,no
1765424785,627.95,627.95,627.95,627.95,0,15980,2025-12-11T09:16:25+05:30,12-11-2025 09:16:25,0.0,0.0,no
1765424790,659.25,659.95,654.95,654.95,260,15980,2025-12-11T09:16:30+05:30,12-11-2025 09:16:30,27.0,-4.2999999999999545,down
1765424795,671.5,671.5,671.5,671.5,120,15980,2025-12-11T09:16:35+05:30,12-11-2025 09:16:35,16.549999999999955,0.0,no
1765424800,671.5,671.5,671.5,671.5,0,15980,2025-12-11T09:16:40+05:30,12-11-2025 09:16:40,0.0,0.0,no
1765424805,678.45,678.45,678.45,678.45,20,15980,2025-12-11T09:16:45+05:30,12-11-2025 09:16:45,6.9500000000000455,0.0,no
1765424810,675.0,675.0,675.0,675.0,120,15980,2025-12-11T09:16:50+05:30,12-11-2025 09:16:50,-3.4500000000000455,0.0,no
1765424815,675.0,675.0,675.0,675.0,0,15980,2025-12-11T09:16:55+05:30,12-11-2025 09:16:55,0.0,0.0,no
1765424820,666.0,666.3,666.0,666.3,260,15980,2025-12-11T09:17:00+05:30,12-11-2025 09:17:00,-8.700000000000045,0.2999999999999545,no
1765424825,657.35,660.5,657.35,660.5,220,15980,2025-12-11T09:17:05+05:30,12-11-2025 09:17:05,-5.7999999999999545,3.1499999999999773,no
1765424830,638.85,638.85,638.85,638.85,60,15980,2025-12-11T09:17:10+05:30,12-11-2025 09:17:10,-21.649999999999977,0.0,no
1765424835,630.7,632.8,630.7,632.8,120,15980,2025-12-11T09:17:15+05:30,12-11-2025 09:17:15,-6.050000000000068,2.099999999999909,no
1765424840,636.2,636.2,636.2,636.2,60,15980,2025-12-11T09:17:20+05:30,12-11-2025 09:17:20,3.400000000000091,0.0,no
1765424845,643.35,643.35,643.35,643.35,20,15980,2025-12-11T09:17:25+05:30,12-11-2025 09:17:25,7.149999999999977,0.0,no
1765424850,643.35,643.35,643.35,643.35,0,15980,2025-12-11T09:17:30+05:30,12-11-2025 09:17:30,0.0,0.0,no
1765424855,658.1,658.1,654.0,654.0,40,15980,2025-12-11T09:17:35+05:30,12-11-2025 09:17:35,10.649999999999977,-4.100000000000023,down
1765424860,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:17:40+05:30,12-11-2025 09:17:40,0.0,0.0,no
1765424865,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:17:45+05:30,12-11-2025 09:17:45,0.0,0.0,no
1765424870,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:17:50+05:30,12-11-2025 09:17:50,0.0,0.0,no
1765424875,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:17:55+05:30,12-11-2025 09:17:55,0.0,0.0,no
1765424880,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:18:00+05:30,12-11-2025 09:18:00,0.0,0.0,no
1765424885,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:18:05+05:30,12-11-2025 09:18:05,0.0,0.0,no
1765424890,654.0,654.0,654.0,654.0,0,15980,2025-12-11T09:18:10+05:30,12-11-2025 09:18:10,0.0,0.0,no
1765424895,629.75,629.75,625.0,625.0,120,15980,2025-12-11T09:18:15+05:30,12-11-2025 09:18:15,-29.0,-4.75,down
1765424900,610.8,616.85,610.8,616.85,1380,15980,2025-12-11T09:18:20+05:30,12-11-2025 09:18:20,-8.149999999999977,6.050000000000068,no
1765424905,621.45,621.45,621.45,621.45,100,15980,2025-12-11T09:18:25+05:30,12-11-2025 09:18:25,4.600000000000023,0.0,no
1765424910,621.45,621.45,621.45,621.45,0,15980,2025-12-11T09:18:30+05:30,12-11-2025 09:18:30,0.0,0.0,no
1765424915,610.0,610.0,610.0,610.0,1940,15980,2025-12-11T09:18:35+05:30,12-11-2025 09:18:35,-11.450000000000045,0.0,no
1765424920,610.0,610.0,610.0,610.0,0,15980,2025-12-11T09:18:40+05:30,12-11-2025 09:18:40,0.0,0.0,no
1765424925,605.7,605.7,605.7,605.7,60,15980,2025-12-11T09:18:45+05:30,12-11-2025 09:18:45,-4.2999999999999545,0.0,no
1765424930,610.1,610.1,610.05,610.05,60,15980,2025-12-11T09:18:50+05:30,12-11-2025 09:18:50,4.349999999999909,-0.05000000000006821,down
1765424935,629.85,629.85,629.85,629.85,40,15980,2025-12-11T09:18:55+05:30,12-11-2025 09:18:55,19.800000000000068,0.0,no
1765424940,630.6,630.6,629.45,629.45,60,15980,2025-12-11T09:19:00+05:30,12-11-2025 09:19:00,-0.39999999999997726,-1.1499999999999773,down
1765424945,624.25,624.25,618.3,624.25,120,15980,2025-12-11T09:19:05+05:30,12-11-2025 09:19:05,-5.2000000000000455,0.0,no
1765424950,624.25,624.25,624.25,624.25,0,15980,2025-12-11T09:19:10+05:30,12-11-2025 09:19:10,0.0,0.0,no
1765424955,630.4,630.4,630.2,630.2,40,15980,2025-12-11T09:19:15+05:30,12-11-2025 09:19:15,5.9500000000000455,-0.1999999999999318,down
1765424960,620.55,620.55,619.65,619.65,40,15980,2025-12-11T09:19:20+05:30,12-11-2025 09:19:20,-10.550000000000068,-0.8999999999999773,down
1765424965,613.75,613.75,613.75,613.75,20,15980,2025-12-11T09:19:25+05:30,12-11-2025 09:19:25,-5.899999999999977,0.0,no
1765424970,610.0,610.0,610.0,610.0,420,15980,2025-12-11T09:19:30+05:30,12-11-2025 09:19:30,-3.75,0.0,no
1765424975,593.8,593.8,593.8,593.8,20,15980,2025-12-11T09:19:35+05:30,12-11-2025 09:19:35,-16.200000000000045,0.0,no
1765424980,605.9,605.9,605.9,605.9,20,15980,2025-12-11T09:19:40+05:30,12-11-2025 09:19:40,12.100000000000023,0.0,no
1765424985,611.15,611.15,611.15,611.15,20,15980,2025-12-11T09:19:45+05:30,12-11-2025 09:19:45,5.25,0.0,no
1765424990,619.45,619.45,619.45,619.45,80,15980,2025-12-11T09:19:50+05:30,12-11-2025 09:19:50,8.300000000000068,0.0,no
1765424995,619.45,619.45,619.45,619.45,0,15980,2025-12-11T09:19:55+05:30,12-11-2025 09:19:55,0.0,0.0,no
1765425000,619.45,619.45,619.45,619.45,0,15980,2025-12-11T09:20:00+05:30,12-11-2025 09:20:00,0.0,0.0,no
1765425005,619.45,619.45,619.45,619.45,0,15980,2025-12-11T09:20:05+05:30,12-11-2025 09:20:05,0.0,0.0,no
1765425010,599.9,599.9,599.9,599.9,40,15980,2025-12-11T09:20:10+05:30,12-11-2025 09:20:10,-19.550000000000068,0.0,no
1765425015,599.9,599.9,599.9,599.9,0,15980,2025-12-11T09:20:15+05:30,12-11-2025 09:20:15,0.0,0.0,no
1765425020,599.9,599.9,599.9,599.9,0,15980,2025-12-11T09:20:20+05:30,12-11-2025 09:20:20,0.0,0.0,no
1765425025,590.0,590.0,590.0,590.0,60,15980,2025-12-11T09:20:25+05:30,12-11-2025 09:20:25,-9.899999999999977,0.0,no
1765425030,588.6,588.6,588.55,588.55,40,15980,2025-12-11T09:20:30+05:30,12-11-2025 09:20:30,-1.4500000000000455,-0.05000000000006821,down
1765425035,581.6,581.6,581.6,581.6,20,15980,2025-12-11T09:20:35+05:30,12-11-2025 09:20:35,-6.949999999999932,0.0,no
1765425040,581.6,581.6,581.6,581.6,0,15980,2025-12-11T09:20:40+05:30,12-11-2025 09:20:40,0.0,0.0,no
1765425045,581.6,581.6,581.6,581.6,0,15980,2025-12-11T09:20:45+05:30,12-11-2025 09:20:45,0.0,0.0,no
1765425050,576.75,576.75,576.75,576.75,20,15980,2025-12-11T09:20:50+05:30,12-11-2025 09:20:50,-4.850000000000023,0.0,no
1765425055,575.0,575.0,575.0,575.0,40,15980,2025-12-11T09:20:55+05:30,12-11-2025 09:20:55,-1.75,0.0,no
1765425060,575.25,575.25,575.25,575.25,40,15980,2025-12-11T09:21:00+05:30,12-11-2025 09:21:00,0.25,0.0,no
1765425065,575.25,575.25,575.25,575.25,0,15980,2025-12-11T09:21:05+05:30,12-11-2025 09:21:05,0.0,0.0,no
1765425070,556.05,556.05,556.05,556.05,160,15980,2025-12-11T09:21:10+05:30,12-11-2025 09:21:10,-19.200000000000045,0.0,no
1765425075,559.8,559.8,559.8,559.8,20,15980,2025-12-11T09:21:15+05:30,12-11-2025 09:21:15,3.75,0.0,no
1765425080,559.8,559.8,559.8,559.8,0,15980,2025-12-11T09:21:20+05:30,12-11-2025 09:21:20,0.0,0.0,no
1765425085,559.8,559.8,559.8,559.8,0,15980,2025-12-11T09:21:25+05:30,12-11-2025 09:21:25,0.0,0.0,no
1765425090,570.7,570.7,570.7,570.7,40,15980,2025-12-11T09:21:30+05:30,12-11-2025 09:21:30,10.900000000000091,0.0,no
1765425095,570.7,570.7,570.7,570.7,0,15980,2025-12-11T09:21:35+05:30,12-11-2025 09:21:35,0.0,0.0,no
1765425100,539.85,539.85,539.85,539.85,80,15980,2025-12-11T09:21:40+05:30,12-11-2025 09:21:40,-30.850000000000023,0.0,no
1765425105,539.85,539.85,539.85,539.85,0,15980,2025-12-11T09:21:45+05:30,12-11-2025 09:21:45,0.0,0.0,no
1765425110,549.45,549.45,549.45,549.45,20,15980,2025-12-11T09:21:50+05:30,12-11-2025 09:21:50,9.600000000000023,0.0,no
1765425115,549.45,549.45,549.45,549.45,0,15980,2025-12-11T09:21:55+05:30,12-11-2025 09:21:55,0.0,0.0,no
1765425120,549.45,549.45,549.45,549.45,0,15980,2025-12-11T09:22:00+05:30,12-11-2025 09:22:00,0.0,0.0,no
1765425125,549.45,549.45,549.45,549.45,0,15980,2025-12-11T09:22:05+05:30,12-11-2025 09:22:05,0.0,0.0,no
1765425130,537.55,537.55,537.55,537.55,40,15980,2025-12-11T09:22:10+05:30,12-11-2025 09:22:10,-11.900000000000091,0.0,no
1765425135,544.2,544.2,544.2,544.2,20,15980,2025-12-11T09:22:15+05:30,12-11-2025 09:22:15,6.650000000000091,0.0,no
1765425140,544.2,544.2,544.2,544.2,0,15980,2025-12-11T09:22:20+05:30,12-11-2025 09:22:20,0.0,0.0,no
1765425145,554.45,554.45,554.45,554.45,20,15980,2025-12-11T09:22:25+05:30,12-11-2025 09:22:25,10.25,0.0,no
1765425150,554.45,554.45,554.45,554.45,0,15980,2025-12-11T09:22:30+05:30,12-11-2025 09:22:30,0.0,0.0,no
1765425155,550.0,550.0,550.0,550.0,80,15980,2025-12-11T09:22:35+05:30,12-11-2025 09:22:35,-4.4500000000000455,0.0,no
1765425160,550.0,550.0,550.0,550.0,0,15980,2025-12-11T09:22:40+05:30,12-11-2025 09:22:40,0.0,0.0,no
1765425165,550.0,550.0,550.0,550.0,0,15980,2025-12-11T09:22:45+05:30,12-11-2025 09:22:45,0.0,0.0,no
1765425170,571.0,571.0,563.35,563.35,60,15980,2025-12-11T09:22:50+05:30,12-11-2025 09:22:50,13.350000000000023,-7.649999999999977,down
1765425175,562.95,562.95,562.95,562.95,60,15980,2025-12-11T09:22:55+05:30,12-11-2025 09:22:55,-0.39999999999997726,0.0,no
1765425180,554.9,554.9,554.9,554.9,180,15980,2025-12-11T09:23:00+05:30,12-11-2025 09:23:00,-8.050000000000068,0.0,no
1765425185,557.75,557.75,557.75,557.75,100,15980,2025-12-11T09:23:05+05:30,12-11-2025 09:23:05,2.8500000000000227,0.0,no
1765425190,565.35,565.35,565.35,565.35,40,15980,2025-12-11T09:23:10+05:30,12-11-2025 09:23:10,7.600000000000023,0.0,no
